place,latitude,longitude,url,address,hours,services,city,state,zip
Seaside,36.602656,-121.853174,https://www.dmv.ca.gov/portal/field-office/seaside/,1180 Canyon Del Rey Blvd,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Seaside,CA,93955
Hollister,36.858174,-121.399748,https://www.dmv.ca.gov/portal/field-office/hollister/,80 N Sally Street,"Tu,Th,Fr 08:00-17:00",[], Hollister,CA,95023
San Mateo,37.579200,-122.323500,https://www.dmv.ca.gov/portal/field-office/san-mateo/,425 N Amphlett Boulevard,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], San Mateo,CA,94401
San Francisco,37.773600,-122.440400,https://www.dmv.ca.gov/portal/field-office/san-francisco/,1377 Fell Street,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], San Francisco,CA,94117
Oakland Coliseum,37.739673,-122.193223,https://www.dmv.ca.gov/portal/field-office/oakland-coliseum/,501 85th Ave,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Oakland,CA,94621
Mountain View Industry Business Center,37.400610,-122.107810,https://www.dmv.ca.gov/portal/field-office/mountain-view-industry-business-center/,595 Showers Drive,"Mo,Tu,Th,Fr 07:00-16:00,We 08:00-16:00",[], Mountain View,CA,94040
Mountain View IBC,37.40057,-122.10771,https://www.dmv.ca.gov/portal/field-office/mountain-view-ibc/,595 Showers Dr.,"Mo,Tu,Th,Fr 07:00-16:00,We 08:00-16:00",[], Mountain View,CA,94040
Los Gatos,37.234000,-121.978100,https://www.dmv.ca.gov/portal/field-office/los-gatos/,600 N Santa Cruz Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Los Gatos,CA,95030
San Jose,37.315000,-121.876300,https://www.dmv.ca.gov/portal/field-office/san-jose/,111 W Alma Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], San Jose,CA,95110
Capitola,36.973200,-121.962700,https://www.dmv.ca.gov/portal/field-office/capitola/,4200 Capitola Road,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Capitola,CA,95010
Fremont,37.553100,-122.007300,https://www.dmv.ca.gov/portal/field-office/fremont/,4287 Central Avenue,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",[], Fremont,CA,94536
West Sacramento Commercial Drive Test Center,38.577000,-121.544000,https://www.dmv.ca.gov/portal/field-office/west-sacramento-commercial-drive-test-center/,2528 Evergreen Avenue,"Mo,Tu,Th,Fr 07:00-16:00,We 08:00-16:00",[], West Sacramento,CA,95691
Sacramento,38.546100,-121.450900,https://www.dmv.ca.gov/portal/field-office/sacramento/,4700 Broadway,"Mo,Tu,Th,Fr 08:00-17:00,We 09:00-17:00",['Kiosk Available'], Sacramento,CA,95820
